Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Instructions Retired	Microarchitecture Usage(%)	Microarchitecture Usage:Microarchitecture Usage(%)	Microarchitecture Usage:CPI Rate	Module	Function (Full)	Source File	Start Address
vfio_crfs_queue_write	344.356419	344.356419	0.0	5.237265	143.400818	195.718336	0.0	0.0	0.0	232980000000	27.1	27.1	3.692682	libcrfslib.so	vfio_crfs_queue_write	[Unknown]	0x6d78
do_checksum_write	78.183090	78.183090	0.0	2.721373	32.506123	42.955594	0.0	0.0	0.0	296318000000	82.4	82.4	0.654280	test_no_cache_offload_cache	do_checksum_write	[Unknown]	0x400ecd
crfss_sched_round_robin	66.430568	66.430568	0.005012	61.303562	2.455751	2.666244	0.0	0.0	0.0	21230000000	2.3	2.3	8.832124	vmlinux	crfss_sched_round_robin	[Unknown]	0xffffffff81364bd0
crfss_io_scheduler	40.559984	40.559984	0.0	37.141980	1.658885	1.759120	0.0	0.0	0.0	16742000000	5.3	5.3	6.852168	vmlinux	crfss_io_scheduler	[Unknown]	0xffffffff81364cd0
find_avail_vsq_entry	21.385080	21.385080	0.0	21.174587	0.080188	0.130305	0.0	0.0	0.0	28523000000	20.7	20.7	2.077516	libcrfslib.so	find_avail_vsq_entry	[Unknown]	0x70a3
crc32_le	10.900527	10.900527	0.0	0.516209	4.530610	5.853708	0.0	0.0	0.0	42889000000	69.7	69.7	0.614004	vmlinux	crc32_le	[Unknown]	0xffffffff8154f540
__copy_user_nocache	4.410328	4.410328	0.0	2.871725	0.621455	0.917148	0.0	0.0	0.0	9196000000	26.6	26.6	1.327751	vmlinux	__copy_user_nocache	[Unknown]	0xffffffff8153fa10
rd_queue_readtail	3.874072	3.874072	0.0	3.242594	0.250587	0.380892	0.0	0.0	0.0	1100000000	6.7	6.7	9.970000	vmlinux	rd_queue_readtail	[Unknown]	0xffffffff813519b0
copy_user_enhanced_fast_string	2.706338	2.706338	0.0	0.145340	1.002347	1.558650	0.0	0.0	0.0	121000000	8.8	8.8	57.090909	vmlinux	copy_user_enhanced_fast_string	[Unknown]	0xffffffff8153fa00
vfio_process_append	1.889425	1.889425	0.0	1.889425	0.0	0.0	0.0	0.0	0.0	121000000	0.2	0.2	43.545455	vmlinux	vfio_process_append	[Unknown]	0xffffffff81352350
crfs_xip_file_write	1.794202	1.794202	0.0	0.992324	0.320751	0.481127	0.0	0.0	0.0	1331000000	14.1	14.1	3.322314	vmlinux	crfs_xip_file_write	[Unknown]	0xffffffff813591e0
__memset_avx2	1.744084	1.744084	0.0	1.729049	0.005012	0.010023	0.0	0.0	0.0	935000000	6.1	6.1	4.682353	libc-2.23.so	__memset_avx2	memset-avx2.S	0x172a70
vfio_process_compound	1.468439	1.468439	0.0	0.150352	0.621455	0.696631	0.0	0.0	0.0	66000000	2.0	2.0	52.500000	vmlinux	vfio_process_compound	[Unknown]	0xffffffff81352400
kfree	0.841972	0.841972	0.0	0.025059	0.410962	0.405951	0.0	0.0	0.0	572000000	9.6	9.6	4.365385	vmlinux	kfree	[Unknown]	0xffffffff8123e590
mutex_lock	0.631479	0.631479	0.0	0.631479	0.0	0.0	0.0	0.0	0.0	132000000	5.3	5.3	10.083333	vmlinux	mutex_lock	[Unknown]	0xffffffff819bf440
__memcpy_avx_unaligned	0.606420	0.606420	0.0	0.606420	0.0	0.0	0.0	0.0	0.0	132000000	11.3	11.3	14.250000	libc-2.23.so	__memcpy_avx_unaligned	memcpy-avx-unaligned.S	0x14dfa0
crfs_find_data_block	0.506185	0.506185	0.0	0.451056	0.035082	0.020047	0.0	0.0	0.0	902000000	3.4	3.4	1.719512	vmlinux	crfs_find_data_block	[Unknown]	0xffffffff81355d20
vfio_crfss_io_append	0.506185	0.506185	0.0	0.506185	0.0	0.0	0.0	0.0	0.0	407000000	7.0	7.0	3.729730	vmlinux	vfio_crfss_io_append	[Unknown]	0xffffffff81351d70
vfio_devfs_macro_io_parser	0.446045	0.446045	0.0	0.025059	0.135317	0.285669	0.0	0.0	0.0	473000000	8.2	8.2	3.604651	vmlinux	vfio_devfs_macro_io_parser	[Unknown]	0xffffffff81368180
nvme_cmd_macro_iov	0.400939	0.400939	0.0	0.015035	0.165387	0.220516	0.0	0.0	0.0	1309000000	85.0	85.0	0.647059	libcrfslib.so	nvme_cmd_macro_iov	[Unknown]	0x8a51
_cond_resched	0.390915	0.390915	0.0	0.345810	0.010023	0.035082	0.0	0.0	0.0	165000000	65.1	65.1	5.933333	vmlinux	_cond_resched	[Unknown]	0xffffffff819bd980
crfs_add_logentry	0.380892	0.380892	0.0	0.380892	0.0	0.0	0.0	0.0	0.0	77000000	7.3	7.3	10.714286	vmlinux	crfs_add_logentry	[Unknown]	0xffffffff8135d8b0
__pthread_mutex_unlock_usercnt	0.340798	0.0	0.0	0.0	0.0	0.0	0.0	0.340798	0.0	473000000	22.3	22.3	1.767442	libpthread-2.23.so	__pthread_mutex_unlock_usercnt	pthread_mutex_unlock.c	0xb4c0
_int_free	0.330775	0.330775	0.0	0.330775	0.0	0.0	0.0	0.0	0.0	418000000	7.6	7.6	2.894737	libc-2.23.so	_int_free	malloc.c	0x7fd60
__GI___pthread_mutex_lock	0.320751	0.0	0.0	0.0	0.0	0.0	0.0	0.320751	0.0	308000000	22.3	22.3	3.107143	libpthread-2.23.so	__GI___pthread_mutex_lock	pthread_mutex_lock.c	0x9d40
vfio_crfss_io_write	0.250587	0.250587	0.0	0.005012	0.120282	0.125293	0.0	0.0	0.0	231000000	12.5	12.5	2.761905	vmlinux	vfio_crfss_io_write	[Unknown]	0xffffffff81352010
devfs_checksumpwrite	0.240563	0.240563	0.0	0.005012	0.125293	0.110258	0.0	0.0	0.0	242000000	69.6	69.6	2.136364	libcrfslib.so	devfs_checksumpwrite	[Unknown]	0x9bf8
vfio_process_micro_op_write	0.240563	0.240563	0.0	0.015035	0.100235	0.125293	0.0	0.0	0.0	407000000	63.2	63.2	1.243243	vmlinux	vfio_process_micro_op_write	[Unknown]	0xffffffff81367820
get_const_curr_cred	0.235552	0.235552	0.0	0.045106	0.095223	0.095223	0.0	0.0	0.0	176000000	31.5	31.5	3.250000	vmlinux	get_const_curr_cred	[Unknown]	0xffffffff81353db0
crfss_check_cred_table	0.210493	0.210493	0.0	0.210493	0.0	0.0	0.0	0.0	0.0	55000000	2.2	2.2	12.600000	vmlinux	crfss_check_cred_table	[Unknown]	0xffffffff81353ca0
__GI_	0.205481	0.205481	0.0	0.205481	0.0	0.0	0.0	0.0	0.0	33000000	1.8	1.8	14.666667	libc-2.23.so	float __GI_(long, int, bool, char)	malloc.c	0x84540
checksumpwrite_cmd	0.190446	0.190446	0.0	0.005012	0.070164	0.115270	0.0	0.0	0.0	132000000	67.3	67.3	4.500000	libcrfslib.so	checksumpwrite_cmd	[Unknown]	0xcfd6
get_vir_time	0.170399	0.170399	0.0	0.005012	0.055129	0.110258	0.0	0.0	0.0	341000000	80.8	80.8	0.580645	libcrfslib.so	get_vir_time	[Unknown]	0x6cda
recursive_alloc_blocks	0.160376	0.160376	0.0	0.160376	0.0	0.0	0.0	0.0	0.0	605000000	28.4	28.4	1.163636	vmlinux	recursive_alloc_blocks	[Unknown]	0xffffffff81355840
mutex_unlock	0.150352	0.150352	0.0	0.150352	0.0	0.0	0.0	0.0	0.0	143000000	4.8	4.8	3.846154	vmlinux	mutex_unlock	[Unknown]	0xffffffff819bf4f0
kmem_cache_alloc_trace	0.110258	0.110258	0.0	0.005012	0.035082	0.070164	0.0	0.0	0.0	275000000	90.9	90.9	0.800000	vmlinux	kmem_cache_alloc_trace	[Unknown]	0xffffffff8123d8e0
memcpy_erms	0.085200	0.085200	0.0	0.0	0.025059	0.060141	0.0	0.0	0.0	154000000	56.8	56.8	1.142857	vmlinux	memcpy_erms	[Unknown]	0xffffffff81540d20
__kmalloc	0.075176	0.075176	0.0	0.005012	0.030070	0.040094	0.0	0.0	0.0	209000000	26.0	26.0	0.736842	vmlinux	__kmalloc	[Unknown]	0xffffffff8123ee40
__GI___libc_malloc	0.070164	0.070164	0.0	0.070164	0.0	0.0	0.0	0.0	0.0	594000000	100.0	100.0	0.185185	libc-2.23.so	__GI___libc_malloc	malloc.c	0x84180
crfs_new_transaction	0.065153	0.065153	0.0	0.065153	0.0	0.0	0.0	0.0	0.0	165000000			1.333333	vmlinux	crfs_new_transaction	[Unknown]	0xffffffff8135d830
unvme_do_devfs_io_macro	0.065153	0.065153	0.0	0.005012	0.020047	0.040094	0.0	0.0	0.0	253000000	80.8	80.8	0.782609	libcrfslib.so	unvme_do_devfs_io_macro	[Unknown]	0x8c5a
irq_work_interrupt	0.060141	0.060141	0.0	0.005012	0.020047	0.035082	0.0	0.0	0.0	0	7.7	7.7		vmlinux	irq_work_interrupt	[Unknown]	0xffffffff819c45e0
nvme_cmd_rw_new	0.055129	0.055129	0.0	0.005012	0.010023	0.040094	0.0	0.0	0.0	110000000	100.0	100.0	0.300000	libcrfslib.so	nvme_cmd_rw_new	[Unknown]	0x6e30
crfs_new_data_block	0.050117	0.050117	0.0	0.050117	0.0	0.0	0.0	0.0	0.0	77000000	16.5	16.5	1.571429	vmlinux	crfs_new_data_block	[Unknown]	0xffffffff81355750
apic_timer_interrupt	0.045106	0.045106	0.0	0.015035	0.015035	0.015035	0.0	0.0	0.0	0	22.7	22.7		vmlinux	apic_timer_interrupt	[Unknown]	0xffffffff819c3960
