Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Instructions Retired	Microarchitecture Usage(%)	Microarchitecture Usage:Microarchitecture Usage(%)	Microarchitecture Usage:CPI Rate	Module	Function (Full)	Source File	Start Address
do_checksum_write	79.155367	79.155367	0.0	79.155367	0.0	0.0	0.0	0.0	0.0	295713000000	84.4	84.4	0.431537	test_selective_offload_cache	do_checksum_write	[Unknown]	0x400edd
crfss_sched_round_robin	75.145978	75.145978	0.0	75.145978	0.0	0.0	0.0	0.0	0.0	20900000000	2.4	2.4	9.403684	vmlinux	crfss_sched_round_robin	[Unknown]	0xffffffff81364bd0
crc32_body	42.374233	42.374233	0.0	42.374233	0.0	0.0	0.0	0.0	0.0	134849000000	72.5	72.5	0.494249	test_selective_offload_cache	crc32_body	[Unknown]	0x401943
crfss_io_scheduler	38.024045	38.024045	0.005012	38.019034	0.0	0.0	0.0	0.0	0.0	17050000000	5.5	5.5	5.985806	vmlinux	crfss_io_scheduler	[Unknown]	0xffffffff81364cd0
func@0xffffffff811197b7	5.783544	5.783544	0.0	5.783544	0.0	0.0	0.0	0.0	0.0	352000000	1.1	1.1	24.937500	vmlinux	func@0xffffffff811197b7	[Unknown]	0xffffffff811197b7
rd_queue_readtail	5.051830	5.051830	0.0	5.051830	0.0	0.0	0.0	0.0	0.0	1496000000	4.2	4.2	9.227941	vmlinux	rd_queue_readtail	[Unknown]	0xffffffff813519b0
_raw_spin_lock	4.966631	4.966631	0.0	4.966631	0.0	0.0	0.0	0.0	0.0	891000000	2.8	2.8	12.506173	vmlinux	_raw_spin_lock	[Unknown]	0xffffffff819c1c80
__memcpy_avx_unaligned	4.109624	4.109624	0.0	4.109624	0.0	0.0	0.0	0.0	0.0	671000000	25.0	25.0	9.098361	libc-2.23.so	__memcpy_avx_unaligned	memcpy-avx-unaligned.S	0x14dfa0
futex_wait_setup	2.415657	2.415657	0.0	2.415657	0.0	0.0	0.0	0.0	0.0	572000000	10.9	10.9	6.326923	vmlinux	futex_wait_setup	[Unknown]	0xffffffff8114fa40
__GI___pthread_rwlock_wrlock	2.250270	0.0	0.0	0.0	0.0	0.0	0.0	2.250270	0.0	1716000000	18.4	18.4	2.314103	libpthread-2.23.so	__GI___pthread_rwlock_wrlock	pthread_rwlock_wrlock.c	0xc810
__GI___pthread_rwlock_unlock	2.210176	0.0	0.0	0.0	0.0	0.0	0.0	2.210176	0.0	561000000	6.0	6.0	7.019608	libpthread-2.23.so	__GI___pthread_rwlock_unlock	pthread_rwlock_unlock.c	0xceb0
__pthread_rwlock_wrlock_slow	1.914483	0.0	0.0	0.0	0.0	0.0	0.0	1.914483	0.0	209000000	4.8	4.8	14.000000	libpthread-2.23.so	__pthread_rwlock_wrlock_slow	pthread_rwlock_wrlock.c	0xc6b0
__schedule	1.809237	0.0	0.0	0.0	0.0	0.0	0.0	1.809237	0.0	1188000000	21.9	21.9	2.314815	vmlinux	__schedule	[Unknown]	0xffffffff819bcfd0
futex_wake	1.799213	1.799213	0.0	1.799213	0.0	0.0	0.0	0.0	0.0	748000000	8.7	8.7	3.147059	vmlinux	futex_wake	[Unknown]	0xffffffff8114f8f0
idle_cpu	1.643850	1.643850	0.0	1.643850	0.0	0.0	0.0	0.0	0.0	1551000000	44.5	44.5	1.546099	vmlinux	idle_cpu	[Unknown]	0xffffffff810faf50
__GI___pthread_rwlock_rdlock	1.513544	0.0	0.0	0.0	0.0	0.0	0.0	1.513544	0.0	275000000	12.1	12.1	8.200000	libpthread-2.23.so	__GI___pthread_rwlock_rdlock	pthread_rwlock_rdlock.c	0xc240
